,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"왼쪽 끝 좌표: (0, 0), 중간 좌표: (48, 24), 끝 좌표(96, 48)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"정렬 텍스트: LEFT, CENTER, RIGHT, L, C, R 각각 왼쪽정렬, 가운데정렬, 오른쪽정렬",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"좌표 0~96, 0~48 범위를 벗어나더라도 렌더링이 가능합니다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,부족하면 더 적어도 작동합니다,,,,,,
,번호,표지판타입,좌표갯수,x1,y1,텍스트1,텍스트 배율,색,정렬1,x2,y2,텍스트2,텍스트 배율,색,정렬2,x3,y3,텍스트3,텍스트 배율,색,정렬3,x4,y4,텍스트4,텍스트 배율,색,정렬4,x5,y5,텍스트5,텍스트 배율,색,정렬5,
,08-315,default,3,146,15,08-315,1,#0000FF,LEFT,138,10,전자공학과사무실,1.75,#FFFFFF,RIGHT,138,29,Dept. of Electronics Engineering,0.75,#808080,RIGHT,,,,,,,,,,,,,
,08-316,default,3,184,30,08-316,1,#0000FF,RIGHT,10,10,기초전자회로사무실,1.75,#FFFFFF,LEFT,10,29,Basic Electronic Circuit Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-317,default,3,184,30,08-317,1,#0000FF,RIGHT,10,10,전자회로실험실,1.75,#FFFFFF,LEFT,10,29,Electronic Circuit Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-318,default,3,184,30,08-318,1,#0000FF,RIGHT,10,10,멀티미디어실험실,1.75,#FFFFFF,LEFT,10,29,Multimedia Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-319,default,3,184,30,08-319,1,#0000FF,RIGHT,10,10,탈의실(남),1.75,#FFFFFF,LEFT,10,29,Locker (M),0.75,#808080,LEFT,,,,,,,,,,,,,
,08-321a,default,3,146,12,08-321,1,#0000FF,LEFT,138,10,강  의  실,1.75,#FFFFFF,RIGHT,138,29,Lecture Room,0.75,#FFFFFF,RIGHT,,,,,,,,,,,,,
,08-321b,default,3,184,30,08-321,1,#0000FF,RIGHT,10,10,강  의  실,1.75,#FFFFFF,LEFT,10,29,Lecture Room,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-322a,default,3,146,12,08-322,1,#0000FF,LEFT,138,10,강  의  실,1.75,#FFFFFF,RIGHT,138,29,Lecture Room,0.75,#FFFFFF,RIGHT,,,,,,,,,,,,,
,08-322b,default,3,184,30,08-322,1,#0000FF,RIGHT,10,10,강  의  실,1.75,#FFFFFF,LEFT,10,29,Lecture Room,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-361,default,3,184,30,08-361,1,#0000FF,RIGHT,10,10,무선및마이크로파통신 연구실험실,1.35,#FFFFFF,LEFT,10,29,Wireless & Microwave Communication Lab.,0.6,#808080,LEFT,,,,,,,,,,,,,
